date,strategy,leg,ticker,action,qty,price,pnl,side
2020-04-01,yangbyungi,LONG,SOXL,MOO_SELL,715522.2296497254,5.684489440441132,-849156.9769372968,
2020-04-01,yangbyungi,SHORT,SOXS,MOO_SELL,12.586143012805596,455772.0,491617.7456762437,
2020-04-02,yangbyungi,LONG,SOXL,STOP_BUY,1197837.894816218,5.264390895495414,0.0,
2020-04-03,yangbyungi,LONG,SOXL,MOO_SELL,1197837.894816218,5.781107919931412,614312.4817992235,
2020-04-03,yangbyungi,LONG,SOXL,STOP_BUY,1125856.1000090716,5.873695298649072,0.0,
2020-04-03,yangbyungi,LONG,SOXL,LOC_SELL,281464.0250022679,5.432615108728409,-125262.0174761496,loser
2020-04-03,yangbyungi,SHORT,SOXS,STOP_BUY,11.247295846173309,470366.2656,0.0,
2020-04-03,yangbyungi,SHORT,SOXS,LOC_SELL,2.811823961543327,462728.52,-22394.290487041464,loser
2020-04-06,yangbyungi,LONG,SOXL,MOO_SELL,844392.0750068037,6.13026653957367,213099.1049256837,
2020-04-06,yangbyungi,SHORT,SOXS,MOO_SELL,8.435471884629981,405397.2,-550630.3435715595,
2020-04-09,yangbyungi,LONG,SOXL,STOP_BUY,780177.3537811831,8.16535721719265,0.0,
2020-04-09,yangbyungi,LONG,SOXL,LOC_SELL,195044.33844529578,7.2063950381279,-188089.5044470278,loser
2020-04-09,yangbyungi,SHORT,SOXS,STOP_BUY,17.1869332599267,296524.18799999997,0.0,
2020-04-13,yangbyungi,LONG,SOXL,MOO_SELL,585133.0153358873,7.1564198474884035,-593500.412585062,
2020-04-13,yangbyungi,SHORT,SOXS,MOO_SELL,17.1869332599267,312083.88,263762.3507628571,
2020-04-13,yangbyungi,LONG,SOXL,STOP_BUY,840541.2454100493,7.271033545045852,0.0,
2020-04-14,yangbyungi,LONG,SOXL,MOO_SELL,840541.2454100493,7.988670864582062,598714.5224835249,
2020-04-16,yangbyungi,LONG,SOXL,STOP_BUY,773899.7083776931,8.283833221321105,0.0,
2020-04-17,yangbyungi,LONG,SOXL,MOO_SELL,773899.7083776931,8.852238231658935,435246.9114957964,
2020-04-20,yangbyungi,LONG,SOXL,STOP_BUY,955119.7968348529,8.327839230701922,0.0,
2020-04-20,yangbyungi,LONG,SOXL,LOC_SELL,238779.94920871322,8.007327798843384,-77896.8820437647,loser
2020-04-21,yangbyungi,LONG,SOXL,MOO_SELL,716339.8476261396,7.63884548330307,-497556.8264003508,
2020-04-21,yangbyungi,LONG,SOXL,STOP_BUY,980382.7932110402,7.761185472371577,0.0,
2020-04-21,yangbyungi,LONG,SOXL,LOC_SELL,245095.69830276005,6.882557156324387,-216604.21208403562,loser
2020-04-22,yangbyungi,LONG,SOXL,MOO_SELL,735287.0949082802,7.4915855281353,-202158.66777231824,
2020-04-23,yangbyungi,LONG,SOXL,STOP_BUY,896634.543888773,8.205977478454113,0.0,
2020-04-23,yangbyungi,LONG,SOXL,LOC_SELL,224158.63597219324,7.831415204048157,-85219.59054137254,loser
2020-04-24,yangbyungi,LONG,SOXL,MOO_SELL,672475.9079165797,7.860067843675614,-236397.30564988405,
2020-04-24,yangbyungi,LONG,SOXL,STOP_BUY,897183.117226688,7.985950821171998,0.0,
2020-04-27,yangbyungi,LONG,SOXL,MOO_SELL,897183.117226688,8.662333651065827,601611.459847006,
2020-04-27,yangbyungi,LONG,SOXL,STOP_BUY,855089.7598667522,8.80106532282114,0.0,
2020-04-27,yangbyungi,LONG,SOXL,LOC_SELL,213772.43996668805,8.666331361293793,-30109.32450523926,loser
2020-04-28,yangbyungi,LONG,SOXL,MOO_SELL,641317.3199000641,9.128100254535676,205708.76637522597,
2020-04-30,yangbyungi,SHORT,SOXS,STOP_BUY,23.187294279881137,219402.44640000002,0.0,
2020-05-01,yangbyungi,SHORT,SOXS,MOO_SELL,23.187294279881137,240839.52000000002,493332.6159924669,
2020-05-04,yangbyungi,LONG,SOXL,STOP_BUY,1082845.1814807581,7.320455201876163,0.0,
2020-05-05,yangbyungi,LONG,SOXL,MOO_SELL,1082845.1814807581,8.046641475677491,780523.2421365101,
2020-05-06,yangbyungi,LONG,SOXL,STOP_BUY,1000024.6608130992,8.394862710206507,0.0,
2020-05-06,yangbyungi,LONG,SOXL,LOC_SELL,250006.1652032748,8.273860877990723,-31709.75333692995,loser
2020-05-07,yangbyungi,LONG,SOXL,MOO_SELL,750018.4956098244,8.708311131477357,230602.41952262446,
2020-05-08,yangbyungi,LONG,SOXL,STOP_BUY,954646.6037625809,8.918864371018408,0.0,
2020-05-11,yangbyungi,LONG,SOXL,MOO_SELL,954646.6037625809,8.958186131477357,31565.192134475335,
2020-05-11,longbyungi,LONG,SOXL,STOP_BUY,1562590.3757012123,9.101656030926703,0.0,
2020-05-12,longbyungi,LONG,SOXL,MOO_SELL,1562590.3757012123,9.429949300289154,502852.8452653531,
2020-05-13,yangbyungi,SHORT,SOXS,STOP_BUY,25.654865996725235,229583.5344,0.0,
2020-05-14,yangbyungi,SHORT,SOXS,MOO_SELL,25.654865996725235,238440.72,223027.4248406766,
2020-05-14,yangbyungi,LONG,SOXL,STOP_BUY,1130338.8715280956,7.934498296548127,0.0,
2020-05-15,yangbyungi,LONG,SOXL,MOO_SELL,1130338.8715280956,7.78277353668213,-177718.43900741823,
2020-05-19,longbyungi,LONG,SOXL,STOP_BUY,1583342.0736095924,9.328451763288973,0.0,
2020-05-20,longbyungi,LONG,SOXL,MOO_SELL,1583342.0736095924,9.671828879833223,533154.0554258283,
2020-05-27,longbyungi,LONG,SOXL,STOP,1519399.9275894186,9.261426291248377,-1241568.4567894936,
2020-05-28,longbyungi,LONG,SOXL,STOP_BUY,1377376.7706955653,10.209235348348617,0.0,
2020-05-29,longbyungi,LONG,SOXL,MOO_SELL,1377376.7706955653,9.672494211673737,-748879.394892741,
2020-05-29,longbyungi,LONG,SOXL,STOP_BUY,1354716.4721315906,9.827404117720125,0.0,
2020-06-01,longbyungi,LONG,SOXL,MOO_SELL,1354716.4721315906,10.06696355009079,315102.1794332545,
2020-06-01,longbyungi,LONG,SOXL,STOP_BUY,1332428.9757971386,10.228191082885264,0.0,
2020-06-02,longbyungi,LONG,SOXL,MOO_SELL,1332428.9757971386,10.226884350776674,-11280.355048565194,
2020-06-02,longbyungi,LONG,SOXL,STOP_BUY,1310508.148432229,10.390673096394538,0.0,
2020-06-03,longbyungi,LONG,SOXL,MOO_SELL,1310508.148432229,11.213723028659821,1068704.1847929023,
2020-06-03,longbyungi,LONG,SOXL,STOP_BUY,1288947.9576799197,11.393316496775148,0.0,
2020-06-04,longbyungi,LONG,SOXL,MOO_SELL,1288947.9576799197,11.637511768341065,304365.0578903835,
2020-06-04,longbyungi,LONG,SOXL,STOP_BUY,1267742.4704262738,11.823892428302763,0.0,
2020-06-05,longbyungi,LONG,SOXL,MOO_SELL,1267742.4704262738,12.920869211673738,1379704.562512936,
2020-06-05,longbyungi,LONG,SOXL,STOP_BUY,1246885.8511676355,13.127803492720124,0.0,
2020-06-08,longbyungi,LONG,SOXL,MOO_SELL,1246885.8511676355,13.25403651380539,145884.86788019724,
2020-06-09,longbyungi,LONG,SOXL,STOP_BUY,1310084.5181305287,12.605832699701784,0.0,
2020-06-10,longbyungi,LONG,SOXL,MOO_SELL,1310084.5181305287,13.146756043910981,696846.9750086814,
