n_slots,h_lb,h_yb,h_gb,cagr,mdd,calmar,sharpe,vol,final
10,7,14,14,0.24956498150441253,-0.1830563973894419,1.3633229161255558,1.1050847964007418,0.22438693398732318,589694.2861616483
10,7,14,30,0.26673212462809137,-0.1748869988855397,1.5251684020414953,1.1415849718750528,0.23036528214011565,657390.6350165795
10,7,30,3,0.3309167844043719,-0.22903394430130475,1.444837294375176,1.2112774395055275,0.2651459425418826,974514.7795566728
10,7,30,7,0.33571493863428903,-0.22903394430130486,1.465786827618182,1.219749170068133,0.26656868202146644,1002849.7086072725
10,7,30,14,0.34089554970886016,-0.22903394430130475,1.488406230564655,1.2267548527030796,0.2686586981479289,1034249.5640300855
10,7,30,30,0.36055747362653245,-0.22903394430130464,1.5742534353432023,1.2586066079041964,0.27474449133304585,1161384.1067523984
10,14,3,3,0.3075413079726299,-0.28321290551963785,1.0859014613347313,1.1664792621032056,0.2592545100033019,846249.5601929813
10,14,3,7,0.30916340748284243,-0.28994338308127143,1.0662888878418846,1.1674767287981245,0.2603350125023226,854647.0739007005
10,14,3,14,0.31228040221102527,-0.27953174304337003,1.1171554214598598,1.1680762993948215,0.26279137871286934,870988.3239111241
10,14,3,30,0.3371641278666011,-0.30678854949913714,1.0990114475167183,1.221982290333071,0.26763092516641057,1011548.158811935
10,14,7,3,0.33899907724075296,-0.279416446134941,1.2132395280592654,1.1994134808052206,0.2756328325622348,1022656.6587657176
10,14,7,7,0.3417912983038449,-0.27943435029790153,1.2231541968246402,1.2035931522913048,0.2766404341030677,1039765.0076293095
10,14,7,14,0.3459731715976242,-0.2803789321171233,1.2339485316717738,1.2048680815082145,0.2796166356686967,1065856.053948155
10,14,7,30,0.36681947014910055,-0.28310865569811927,1.2956844051431713,1.251135281336061,0.28215191631853703,1204644.8086838396
10,14,14,3,0.42552877912933296,-0.2756708367479035,1.5436118820159135,1.3083695719656887,0.30749420699458707,1683943.7983804683
10,14,14,7,0.4285011679365174,-0.27536119625421673,1.556142164420727,1.311301725178237,0.3086716541790174,1712112.4239245998
10,14,14,14,0.433473389864957,-0.27552164036627724,1.573282553372938,1.3136719205333174,0.3114100864097671,1760154.7569693117
10,14,14,30,0.45348413885786854,-0.2729689434710282,1.6613030518836276,1.3468800335201145,0.31480832818050397,1965630.3903317817
10,14,30,3,0.5320584690073635,-0.26455550077209466,2.0111412064938063,1.4107564966130386,0.345090075689554,2989567.6686514597
10,14,30,7,0.5352676370471241,-0.26475034274758535,2.0217826027800525,1.4134550541283735,0.34617800050177966,3039807.5287338467
10,14,30,14,0.5397945192652067,-0.26573213260921713,2.03134831292316,1.4147045919502506,0.3485370655390648,3111931.076326491
10,14,30,30,0.5639485739258319,-0.2686096793340106,2.099509501385367,1.4471486381371634,0.35241518392801247,3522629.513446181
10,30,3,3,0.7021423493022241,-0.39138057862269837,1.7940142859748505,1.4665998767882376,0.4258001758275614,6914255.082188707
10,30,3,7,0.7011430622951564,-0.39138057862269837,1.7914610499134593,1.4642655810542062,0.42619577403778824,6881992.022588756
10,30,3,14,0.7088963990904149,-0.39138057862269837,1.8112712735646765,1.4709145002823372,0.4278382703626353,7135806.170008406
10,30,3,30,0.7282853506189273,-0.39138057862269837,1.8608111653925843,1.4801874580204362,0.4348305167341071,7806679.803167776
10,30,7,3,0.7508942304076387,-0.3950423172473554,1.9007944152410057,1.5093110144156219,0.4351110168886242,8658071.571577901
10,30,7,7,0.7510569282996455,-0.3950423172473554,1.9012062645161427,1.5088101381316128,0.43541048595387577,8664481.264343828
10,30,7,14,0.7600876460702488,-0.3950423172473554,1.9240663920931809,1.515707661202828,0.4373892915925746,9026830.464204162
10,30,7,30,0.775580240335833,-0.3950423172473554,1.9632839482616848,1.5206379430850816,0.4435428413512313,9679387.82985348
10,30,14,3,0.8671142689384643,-0.3621264543326691,2.394506831975015,1.6017205925719753,0.45585856023835364,14444937.01873935
10,30,14,7,0.867035738307866,-0.3621264543326691,2.3942899722850948,1.6003924608548372,0.4563533906442553,14440098.931117333
10,30,14,14,0.8771678924572077,-0.3621264543326691,2.4222695745155183,1.607479526101028,0.4582513225820492,15076148.242038619
10,30,14,30,0.8914260009548054,-0.3621264543326691,2.4616428606342384,1.6066734474029092,0.4651649398734095,16012654.592769265
10,30,30,3,0.997218901284411,-0.3534777745615396,2.8211643646375784,1.6551983013073517,0.492404230196663,24700888.278859764
10,30,30,7,0.9971810412818372,-0.35370685986814754,2.8192301434401346,1.6538315319338508,0.4929671292563733,24697159.278956547
10,30,30,14,1.0070795432799629,-0.35377868296874415,2.846637154135533,1.6600753722603878,0.49457411692154196,25689034.33120188
10,30,30,30,1.02516005220791,-0.3548892631810534,2.8886758731973963,1.6622358836494744,0.5013362492784885,27590990.801662654
14,3,3,3,0.08468274589217484,-0.09370761814688289,0.9036911573127179,1.0543612917219138,0.08030079528503356,191058.057515385
14,3,3,7,0.08799965913378904,-0.09459331511817803,0.9302946939099095,1.065247203497539,0.08252092434140804,195761.0931014036
14,3,3,14,0.10476984789119381,-0.09397969683671126,1.1148136397293378,1.1631335319615332,0.08924289206281574,221123.22943747084
14,3,3,30,0.10851745532468793,-0.1311618571595108,0.8273552820521277,1.0335851228726787,0.10518916401610644,227168.34293512383
14,3,7,3,0.10775882631398193,-0.11490076508605018,0.9378425481612799,0.9866367428454569,0.10998851581380052,225933.09701578133
14,3,7,7,0.1114067823268916,-0.11588151969261584,0.9613852374598314,1.0020292936776447,0.11178283327363507,231927.16839691676
14,3,7,14,0.12725814423574788,-0.11639029507064691,1.0933741868985243,1.0827195418226343,0.1171130359243355,259618.37913420383
14,3,7,30,0.1304718545438659,-0.12954390375461378,1.0071632146504546,1.0140852326664673,0.1293167563329021,265572.0761836782
14,3,14,3,0.17029091329594537,-0.1514359852547621,1.1245075799484743,1.1232726363793835,0.15010433646620894,349880.66682650737
14,3,14,7,0.17448664958216242,-0.15144197313432417,1.152168358420676,1.13611987484028,0.15178222235553926,359996.7987248986
14,3,14,14,0.18978629086177978,-0.15143956361768351,1.2532147236035653,1.201079396888156,0.15475736761935333,399085.1687971039
14,3,14,30,0.19457951573019772,-0.15144314641957635,1.2848354008118081,1.151037959593503,0.16658477338182312,412071.2010275474
14,3,30,3,0.2663680509868207,-0.22903394430130464,1.1630068713151154,1.2095196407840445,0.2142395492500076,655887.3309229543
14,3,30,7,0.2711370374412807,-0.22903394430130464,1.1838290532367006,1.2213752301102938,0.21545758399709972,675819.2580473775
14,3,30,14,0.28891266644308455,-0.22903394430130486,1.261440383103242,1.2728603668254028,0.21813448915147662,754857.2869492321
14,3,30,30,0.2938943179759719,-0.22903394430130475,1.283191095854946,1.249563504659684,0.22681414867544608,778408.7992089143
14,7,3,3,0.1672674825406435,-0.15275471045847855,1.0950070347330454,1.1196360223235153,0.1482735668201664,342745.97649045265
14,7,3,7,0.17049407279873852,-0.15371455690517932,1.1091602267956302,1.1252057690357244,0.1502571939904877,350364.7046433918
14,7,3,14,0.18923877758413576,-0.1552454059551862,1.218965394948706,1.1898733051388155,0.15624076311249013,397624.84577657626
