n_slots,hold_days,cagr,mdd,calmar,sharpe,vol,final
3,7,0.9932681997666679,-0.32656157093250904,3.041595485134251,1.6077846833102114,0.5115748820326614,24314410.436599307
3,10,0.9753678268443098,-0.34605697921975587,2.8185180054551764,1.6066026921082655,0.5040168601064138,22628777.276521027
3,14,0.9448336417956278,-0.3478415534138197,2.716275938060739,1.5596257136256286,0.5113757458248921,19988386.794393197
3,21,0.7714157101583279,-0.4105625932937922,1.8789235131470314,1.4439781913392533,0.4750264820301935,9500045.777030574
3,30,0.7715931676061945,-0.5114924020805984,1.5085134490123093,1.4335370090896098,0.4808309667451733,9507628.137682298
3,45,0.7408584587761937,-0.5148866780718795,1.4388767282745039,1.3946698167860043,0.4827872084367292,8270626.885011157
3,60,1.056563315232741,-0.40241869803237384,2.625532363179959,1.7809246570149877,0.4676602865630979,31188271.426252075
4,3,0.747302926737333,-0.310622947258157,2.405820089383975,1.589197900279205,0.4032796113520749,8517639.422490332
4,5,1.0549533631000991,-0.34028548240222,3.1002009126358683,1.6640579624130725,0.5131546949995672,30994347.218690418
4,7,1.0301971003687704,-0.3238995558542427,3.1806067089278973,1.6472866898212768,0.5099976190916728,28142307.68919218
4,10,0.9739466505056382,-0.33566050708632234,2.901582491666697,1.6129310030211803,0.5002252677216553,22499439.096266054
4,14,1.0322200555979602,-0.3502330766727373,2.9472374951109517,1.6639304893020903,0.5034190921289863,28366421.463493224
4,21,0.8264430973589179,-0.43755594938509856,1.8887712497574904,1.5180291510072677,0.4708430886448581,12120989.336643409
4,30,0.7715841379980548,-0.4742599490069431,1.6269224074554076,1.4442506738430159,0.47545138883689675,9507242.194936149
4,45,0.7591244365840109,-0.5148866780718794,1.4743524525177856,1.4112313056942385,0.48548478478676993,8987561.654041588
4,60,1.0287359182197315,-0.40407525356532636,2.5459018070093644,1.7615710857943256,0.46420286071559863,27981394.696618397
5,3,0.5673442160256768,-0.37191053974524146,1.525485716038882,1.5433781222698226,0.3264959221525554,3584006.444454167
5,5,1.0306503494315513,-0.3404262378432976,3.0275291233749506,1.6413646043270953,0.512867498637049,28192385.987274826
5,7,0.999207825270767,-0.3225815129835897,3.0975359251960555,1.6237338683027773,0.5069453228540235,24897479.88770186
5,10,0.9366510611237868,-0.3323464379342066,2.8182972772201405,1.579685566437017,0.4978297167124381,19328327.475750525
5,14,0.9891629440546872,-0.34789187611800476,2.843305670406525,1.6269291878698813,0.5009227208166139,23918425.533021238
5,21,0.8047195779091425,-0.4468229172535184,1.8009809856117132,1.4931804432157347,0.4705814093091282,11019241.131812587
5,30,0.745183903452558,-0.47165891845442787,1.5799211555130561,1.4213453437406192,0.47099497003936847,8435716.243868798
5,45,0.7536586447535238,-0.5148866780718795,1.4637369286301698,1.4087855451622273,0.48344362092812465,8767544.449253889
5,60,0.9808013522779575,-0.4119282961441645,2.381000192166216,1.717677392447431,0.46134821719766855,23129285.162263
6,3,0.4811742150405731,-0.18564879353181318,2.591852098183003,1.5842401879418724,0.27187082060890816,2284425.083909449
6,5,0.8093826070847792,-0.31622428332530217,2.559520725523035,1.6043542503327062,0.42751336923916705,11248050.36792004
6,7,0.9876487673090142,-0.315531387360526,3.1301125874381786,1.6208701876701974,0.5030462579834185,23773801.213179085
6,10,0.9041423553880399,-0.3271839778515644,2.7634065742614933,1.5527811631144433,0.49444782927319947,16890411.472484335
6,14,1.0148117843879607,-0.3251402006923595,3.1211513747823307,1.6709145765468856,0.49318948666382345,26487899.905858487
6,21,0.8308023363649222,-0.4463786934352322,1.86120517977964,1.516295441373145,0.4739651742088325,12353320.617562514
6,30,0.7214768663925335,-0.4708606093128028,1.532251481909885,1.40704742624833,0.4635895738551113,7565076.394784173
6,45,0.7460818006473608,-0.5116925437080678,1.458066586706054,1.416802005107073,0.4746673774525638,8470345.172372164
6,60,0.9407933691890067,-0.4191182556791825,2.2446967089621235,1.6877708972846368,0.45596472643626246,19660050.14992563
7,3,0.39920752182232877,-0.22069741615472938,1.8088454716771456,1.5155903722451822,0.24142083096614236,1451659.6437155649
7,5,0.6454378877341,-0.2678974429131048,2.4092722973225773,1.537712895681453,0.36898164120133614,5279028.917873619
7,7,0.9654915681627236,-0.32526327410006806,2.968338712183312,1.5994802218835902,0.5025674845054443,21743238.839751594
